url,title,price,date,source
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",23000.,2025-09-04,scraped
https://www.amazon.in/Mi-Vacuum-Mop-Powerful-Large-Capacity-Electronically-Controlled/dp/B0C1NYBYNQ,"MI Xiaomi Robot Vacuum-Mop 2i, 2200 Pa Powerful Suction, 450 mL Large-Capacity Dustbin, Electronically-Controlled 270 mL Water Tank, Controls remotely via app, Alexa/GA Enabled, White",4999.,2025-09-04,scraped
https://www.amazon.in/PHILIPS-Fryer-NA120-00-Technology/dp/B0D14BB5XY/ref=asc_df_B0D14BB5XY?mcid=6762b3b95ec73ffb9c8327acc7f5b4f4&tag=googleshopdes-21&linkCode=df0&hvadid=710153233331&hvpos=&hvnetw=g&hvrand=16249532527229358096&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9050511&hvtargid=pla-2298444321313&gad_source=1&th=1,"PHILIPS Air Fryer NA120/00, uses up to 90% less fat, 1500W, 4.2 Liter, with Rapid Air Technology (Black), Large",4459,2025-09-04,scraped
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",22530,2025-08-01,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",22614,2025-08-02,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",22544,2025-08-03,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",22044,2025-08-04,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21750,2025-08-05,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21803,2025-08-06,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21410,2025-08-07,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21579,2025-08-08,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21316,2025-08-09,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",20892,2025-08-10,dummy
https://www.amazon.in/Samsung-Galaxy-Silver-128GB-Storage/dp/B0BZCR6TNK?th=1,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB Storage)",21049,2025-08-11,dummy
